Nombre,Precio,Tipo,Imagen
Americano,3.0,Bebida,americano.jpg
Bombon,2.0,Postre,bombon.jpg
Brazo gitano,4.0,Postre,brazo_gitano.jpg
bud,3.0,Postre,budin.jpg
Cafe con leche,1.5,Bebida,cafe_con_leche.jpg
Cafe latte,2.0,Bebiba,cafe_latte.jpg
Capuccino,3.5,Bebida,capuccino.jpg
Dulce de coco,2.0,Postre,dulce_de_coco.jpg
Espresso,2.0,Bebida,espresso.jpg
Flan,1.5,Postre,flan.jpg
Macchiato,2.0,Bebida,macchiato.jpg
Mozaico,3.0,Postre,mozaico.jpg
Rollo de canela,4.0,Postre,rollo_canela.jpg
Torta de chocolate,3.5,Postre,torta_chocolate.jpg
jore,8.0,Postre,alfajorsito.jpeg
